# Synthetic data generated for this project from a fixed seed. Not market data and not a price history of any real security.
date,AAPL,MSFT,NVDA,SPY,TSLA
2018-04-19,46.1574,86.6308,70.2123,284.9140,24.6592
2018-04-20,49.0224,85.4160,73.7028,282.9457,24.7019
2018-04-23,49.8270,87.8599,76.5762,284.9682,24.9924
2018-04-24,51.8939,86.0463,80.5388,285.1846,24.1594
2018-04-25,52.3658,84.9998,77.4211,287.5357,24.9398
2018-04-26,51.1540,85.2013,73.1613,279.2274,23.1140
2018-04-27,52.0833,84.7660,73.6244,282.6226,23.7721
2018-04-30,52.4074,85.9372,74.8705,287.9674,25.2815
2018-05-01,52.7152,85.7082,76.7494,293.8671,26.8698
2018-05-02,50.7056,86.2291,74.6716,287.1170,26.9030
2018-05-03,51.6218,87.2258,74.8912,285.6760,26.4105
2018-05-04,51.1553,87.0452,73.9081,286.7252,25.4621
2018-05-07,50.3619,88.2410,78.6803,291.9440,27.2247
2018-05-08,50.1472,88.7092,80.6790,287.5935,27.8876
2018-05-09,50.1283,88.2009,82.9620,292.4677,30.1583
2018-05-10,51.1714,86.7351,86.2573,294.9060,31.2313
2018-05-11,50.1694,86.1973,86.7433,298.8933,30.8621
2018-05-14,48.5447,85.7207,88.0919,300.8581,30.9930
2018-05-15,50.0597,86.8501,88.8989,305.3492,30.7036
2018-05-16,49.8827,87.8917,89.6608,306.8849,33.2992
2018-05-17,49.7133,89.2754,92.1896,308.8636,34.1193
2018-05-18,50.0738,89.5159,91.9323,307.5015,33.0773
2018-05-21,48.8754,91.4166,93.1914,312.8864,33.2977
2018-05-22,49.8233,91.3529,94.8942,315.8143,36.2104
2018-05-23,49.4771,91.4634,93.5881,313.4458,36.3978
2018-05-24,50.2864,92.5586,88.3217,311.7706,36.5562
2018-05-25,49.2078,93.8806,89.3864,305.5322,37.4506
2018-05-28,49.6802,92.0906,95.2944,308.1894,36.5538
2018-05-29,49.3016,94.0694,95.4791,310.4811,36.7827
2018-05-30,48.0212,93.3730,96.3187,305.0777,35.8194
2018-05-31,49.0898,91.6470,92.7171,303.8848,34.8182
2018-06-01,47.4087,90.6467,87.1417,298.6374,34.1132
2018-06-04,47.0515,88.3552,89.8355,296.8668,34.0800
2018-06-05,47.4509,87.5519,88.4474,299.3241,32.1498
2018-06-06,47.9935,89.1233,93.7129,294.9372,30.7961
2018-06-07,46.5172,88.9564,90.2794,289.3594,29.4219
2018-06-08,46.0471,87.0347,96.3360,287.8770,29.6442
2018-06-11,46.3458,86.3415,94.3027,290.2282,30.5030
2018-06-12,46.8496,84.7452,93.1552,291.6881,30.5741
2018-06-13,47.4070,81.5053,94.7797,288.1720,30.8566
2018-06-14,47.7066,79.6500,97.8714,292.3131,30.7900
2018-06-15,47.6821,81.8126,102.2796,292.9616,29.8150
2018-06-18,47.6579,82.4063,105.5665,296.9606,30.8718
2018-06-19,48.2307,84.8678,105.9064,305.1956,31.0258
2018-06-20,49.8695,84.5245,103.3023,300.8091,30.2022
2018-06-21,50.1109,83.2021,108.2261,305.8414,31.8444
2018-06-22,49.1987,84.5309,108.4794,304.7430,31.8128
2018-06-25,47.8301,83.8604,104.5006,303.7670,33.3770
2018-06-26,48.2566,85.5168,106.6031,301.6483,32.6568
2018-06-27,49.1844,85.8352,108.2853,304.4384,32.0173
2018-06-28,49.3007,85.4430,107.8624,301.3703,31.0344
2018-06-29,49.1975,84.2894,102.9743,299.9601,31.5907
2018-07-02,49.1102,83.2978,99.1843,291.5184,31.4737
2018-07-03,48.2541,85.0469,95.5529,287.9858,32.0261
2018-07-04,51.0291,84.7665,101.8924,292.7371,32.6411
2018-07-05,51.5138,83.8122,99.1172,299.6906,32.4861
2018-07-06,50.9865,82.9943,93.3575,294.3670,31.1997
2018-07-09,48.8247,86.7828,86.4478,297.9695,30.6585
2018-07-10,48.2817,86.2214,85.4712,297.3914,28.6516
2018-07-11,49.0321,86.6106,81.1322,294.8520,28.1803
2018-07-12,47.8868,87.2385,79.2080,296.4992,27.7570
2018-07-13,46.8900,85.2807,72.9554,290.7853,28.5480
2018-07-16,46.7262,84.6635,72.6914,289.5860,29.7836
2018-07-17,47.1994,83.9379,72.3730,293.7629,29.7843
2018-07-18,47.4006,84.9699,70.6758,292.8595,29.9282
2018-07-19,47.0311,84.8114,71.3410,289.5262,27.9373
2018-07-20,45.6686,85.7506,67.5945,283.5913,28.0319
2018-07-23,46.1754,84.0054,67.9078,291.3084,29.7866
2018-07-24,46.7244,87.0378,64.9178,287.3649,27.7390
2018-07-25,45.1337,86.2332,66.5885,281.7451,26.7807
2018-07-26,46.3822,85.0568,69.7943,290.4029,27.1940
2018-07-27,47.5451,83.2933,67.1983,294.7213,27.6067
2018-07-30,48.4157,84.5465,68.7269,294.1684,26.1658
2018-07-31,49.5665,85.2685,67.8079,293.4776,25.6943
2018-08-01,48.3858,82.9191,68.8667,292.0293,24.0116
2018-08-02,48.0255,82.8600,68.7774,289.2593,22.1760
2018-08-03,47.9374,82.2794,65.5055,286.2119,22.6854
2018-08-06,48.1886,81.8647,65.8610,283.6783,21.7093
2018-08-07,47.2571,80.8282,68.7682,279.4140,20.3332
2018-08-08,47.4039,80.6114,66.5022,283.9209,21.1960
2018-08-09,48.3123,79.5881,69.2289,285.6380,22.0891
2018-08-10,47.5502,79.4379,72.5817,288.9272,22.7091
2018-08-13,47.4919,80.3074,73.9282,292.3015,24.5238
2018-08-14,47.1214,81.6478,74.5177,291.2807,24.2464
2018-08-15,46.7150,80.2665,74.3577,290.9151,24.3613
2018-08-16,45.5549,80.9138,71.7357,282.8621,25.3248
2018-08-17,45.4160,80.6127,72.4938,288.5317,26.1688
2018-08-20,46.1057,81.2156,68.1021,290.8474,26.6629
2018-08-21,46.9757,81.6563,68.7899,290.1854,27.5555
2018-08-22,47.1529,79.5845,66.6475,286.8387,27.8473
2018-08-23,48.6843,81.4710,71.6545,288.0590,28.5214
2018-08-24,49.1799,81.1510,68.3857,294.1261,29.0723
2018-08-27,48.6234,82.8295,69.7261,293.3455,30.1454
2018-08-28,48.8593,84.2190,69.4180,292.6547,29.1704
2018-08-29,47.9861,82.4315,71.5414,286.7438,29.0116
2018-08-30,48.1860,83.4808,72.2633,288.4406,30.0699
2018-08-31,48.2111,80.5793,74.9424,290.7708,31.4772
2018-09-03,48.8978,79.2657,72.8692,291.9590,32.6949
2018-09-04,48.9124,78.1376,67.3069,290.7436,32.2047
2018-09-05,47.1705,77.0282,64.1913,285.1461,33.1484
2018-09-06,47.5493,77.9047,65.8806,287.0434,34.7291
2018-09-07,47.9615,80.2108,67.0976,288.2148,35.8499
2018-09-10,48.5521,81.2955,67.6602,291.2700,35.4697
2018-09-11,47.5913,80.9749,71.8864,289.9873,35.2395
2018-09-12,47.7490,81.5780,71.2088,291.6487,36.6615
2018-09-13,46.7244,80.0121,70.8268,285.1505,36.8412
2018-09-14,47.1251,81.2031,67.6180,286.1465,37.8372
2018-09-17,46.0144,79.3345,66.6462,283.4638,38.7142
2018-09-18,45.5695,80.9829,68.2576,279.8126,39.2579
2018-09-19,46.6607,82.5413,67.0979,284.5912,40.5094
2018-09-20,46.4601,84.4820,68.7541,285.9517,39.8861
2018-09-21,47.0673,86.2199,70.4265,285.0292,41.2980
2018-09-24,47.1034,84.9830,70.3223,282.6891,40.7435
2018-09-25,45.9843,85.7425,69.3575,280.7906,41.3798
2018-09-26,45.1817,84.2505,68.5922,276.4545,43.3654
2018-09-27,45.1568,85.6852,72.6021,279.1554,40.6517
2018-09-28,46.9923,88.7511,72.3679,286.4463,40.5407
2018-10-01,47.2387,87.3750,71.9834,286.8210,37.5232
2018-10-02,47.3807,88.2725,73.2731,282.2550,39.2615
2018-10-03,48.6593,84.3887,69.5702,280.1663,36.0113
2018-10-04,48.7559,84.4309,67.0795,278.1723,37.1235
2018-10-05,49.1595,85.1230,67.0976,282.2367,36.6709
2018-10-08,48.5087,85.9893,68.1812,284.3450,36.1181
2018-10-09,48.5008,88.2767,70.1548,287.4527,39.5318
2018-10-10,49.2861,87.1543,75.1061,287.3032,38.5493
2018-10-11,49.6819,90.8320,73.7048,287.5756,39.9741
2018-10-12,50.6471,91.8959,73.5608,291.5967,43.0214
2018-10-15,51.3036,91.7115,74.2043,293.4807,44.9300
2018-10-16,51.1904,93.1424,74.8416,293.2172,45.2746
2018-10-17,51.0235,91.5808,74.9597,297.5002,49.6382
2018-10-18,50.5816,91.5969,78.4640,296.0392,51.8079
2018-10-19,50.5381,93.1100,81.4233,294.7364,53.3690
2018-10-22,51.5392,92.4202,80.9776,299.7971,53.8940
2018-10-23,50.9464,90.0497,80.3741,300.5672,53.0136
2018-10-24,50.2329,88.0837,82.5867,305.1781,54.7962
2018-10-25,49.7914,87.5809,83.8133,301.4037,50.0199
2018-10-26,50.1743,88.9540,81.0496,300.8761,50.7197
2018-10-29,50.0206,87.9515,82.1387,301.5586,49.3833
2018-10-30,50.0136,86.8093,85.7730,299.1134,50.6612
2018-10-31,49.0751,84.5808,86.0695,299.4931,50.4916
2018-11-01,50.0697,82.8210,87.9352,304.2285,51.7934
2018-11-02,49.4554,82.2310,87.1318,302.8267,54.1170
2018-11-05,48.9242,83.6018,89.4894,303.2289,53.7581
2018-11-06,47.7352,84.7112,87.5118,298.6550,56.3647
2018-11-07,46.2773,87.9148,84.3596,294.7312,58.5701
2018-11-08,45.2771,84.8408,91.9668,289.1350,55.5386
2018-11-09,44.1307,81.4240,96.1063,290.5391,56.1426
2018-11-12,44.4744,79.7960,97.7371,287.4543,58.5911
2018-11-13,43.4090,79.5183,101.0227,297.8486,61.1656
2018-11-14,43.3451,81.0328,109.0040,298.1313,61.9329
2018-11-15,44.5913,81.5819,104.0025,293.6753,62.8187
2018-11-16,43.8531,81.2078,103.5356,291.8706,61.8214
2018-11-19,44.1154,79.9220,102.9802,289.3368,64.1834
2018-11-20,43.3054,80.3884,100.2440,292.0479,66.1609
2018-11-21,43.1169,77.8772,98.6722,283.9491,67.1489
2018-11-22,43.8031,77.7461,99.1117,284.4368,66.1027
2018-11-23,42.9572,76.8941,95.7370,281.9411,66.5039
2018-11-26,43.1627,77.4813,96.7756,278.7295,59.7863
2018-11-27,43.7611,77.7274,99.1600,281.2112,62.7436
2018-11-28,44.2867,76.7593,100.2681,284.6058,67.6332
2018-11-29,43.2592,76.6187,102.0664,284.0851,70.0993
2018-11-30,43.0433,77.6963,103.5645,285.3457,72.1392
2018-12-03,42.5167,77.5815,104.4609,292.1584,74.3945
2018-12-04,42.5141,79.5294,98.2643,286.7088,72.8360
2018-12-05,43.7660,79.7668,98.1235,291.2322,74.4233
2018-12-06,44.4774,79.3167,96.1991,291.1713,73.7781
2018-12-07,43.8338,77.6528,97.8285,289.9845,78.7599
2018-12-10,42.5952,75.0338,98.0959,290.4128,79.2115
2018-12-11,41.2065,76.5575,100.3411,293.5347,75.5553
2018-12-12,40.2898,77.4264,98.1763,294.6889,70.2446
2018-12-13,41.1385,80.9046,95.4616,296.8617,71.6109
2018-12-14,42.1371,81.1823,92.7392,293.5844,71.8422
2018-12-17,42.4939,82.1182,90.2972,293.5774,73.9512
2018-12-18,42.7701,82.6127,91.2169,290.4885,73.2632
2018-12-19,42.3310,82.6680,90.4782,281.8051,80.1281
2018-12-20,42.4708,83.2963,93.1019,283.1654,77.1742
2018-12-21,43.3711,82.9755,93.3447,280.5026,77.0676
2018-12-24,42.8312,80.6519,91.6564,275.9716,71.7547
2018-12-25,42.7302,79.4661,90.6098,272.6923,73.2718
2018-12-26,43.4172,77.4838,88.8882,274.6171,74.0204
2018-12-27,43.3176,77.9850,90.0700,272.4981,76.3634
2018-12-28,43.3766,78.6599,86.0562,276.9412,72.2056
2018-12-31,44.8362,78.2594,88.1745,280.3395,66.1823
2019-01-01,43.5902,78.9478,90.0483,272.9357,66.5908
2019-01-02,43.2362,77.2329,86.9884,269.2821,70.0192
2019-01-03,42.6599,75.6681,92.0915,274.8579,72.4220
2019-01-04,43.1163,75.2816,99.4810,275.0256,73.0975
2019-01-07,43.8827,73.5714,100.0045,276.4464,73.4235
2019-01-08,43.8953,73.5152,97.1898,275.3083,75.5224
2019-01-09,43.3054,73.2436,94.8866,279.9922,71.9690
2019-01-10,44.0766,73.9913,88.1174,278.1608,75.5680
2019-01-11,44.7228,74.0453,96.7312,279.7492,83.4442
2019-01-14,44.4480,72.1401,92.0255,275.3324,83.8244
2019-01-15,44.6412,72.4208,96.3655,280.5504,89.1088
2019-01-16,43.2040,72.9408,96.1672,277.3792,89.4934
2019-01-17,42.1559,73.1704,97.6663,270.8635,88.3498
2019-01-18,43.1130,73.2355,101.2198,266.9499,94.3533
2019-01-21,43.2101,71.3358,104.7058,269.4224,96.8959
2019-01-22,45.0411,70.2950,109.1794,266.7384,94.6912
2019-01-23,45.5391,71.4987,108.8808,261.8377,94.2646
2019-01-24,45.9021,70.5755,111.2761,263.5677,96.7746
2019-01-25,46.5395,71.7186,110.1440,275.7089,99.6581
2019-01-28,47.9373,73.7426,112.7316,276.6721,105.9922
2019-01-29,47.8745,75.3025,119.2375,276.8452,106.9263
2019-01-30,47.2814,73.8896,121.4247,276.9491,109.7764
2019-01-31,49.5430,72.8949,119.9389,271.8944,106.4219
2019-02-01,50.6226,74.8910,125.1281,274.4870,111.0623
2019-02-04,49.2249,75.0792,123.5755,271.2117,109.9861
2019-02-05,49.3316,76.7211,122.6810,267.5032,114.5554
2019-02-06,49.3210,79.3798,128.0911,270.1979,123.2370
2019-02-07,50.1021,79.6114,138.8803,272.2866,133.3999
2019-02-08,49.6478,77.1445,141.4868,273.2882,130.3364
2019-02-11,49.7552,74.3521,139.7333,274.0652,128.2291
2019-02-12,48.3078,72.5524,140.3772,267.0707,123.0743
2019-02-13,48.4371,72.9280,130.5801,261.7262,119.9414
2019-02-14,48.8216,74.6517,136.8372,262.3032,117.3585
2019-02-15,49.8325,73.7288,143.6769,260.5244,113.2444
2019-02-18,50.3585,73.0514,152.5737,262.1439,109.4663
2019-02-19,52.7574,74.0999,170.1867,269.8541,113.2873
2019-02-20,51.4027,73.4132,175.8369,265.9760,106.1116
2019-02-21,52.5059,77.5805,173.6620,269.6222,106.6102
2019-02-22,51.6597,76.5616,177.7026,261.1855,104.5572
2019-02-25,51.2499,76.6588,190.9140,256.2465,106.5720
2019-02-26,52.1255,78.7151,194.6080,257.7350,102.6928
2019-02-27,51.7842,80.9240,193.8620,258.7903,103.9359
2019-02-28,52.2242,83.8569,199.9698,264.6530,109.0791
2019-03-01,51.2384,81.6797,203.9190,263.6619,109.9284
2019-03-04,50.8041,81.1926,201.2978,259.6275,108.2853
2019-03-05,50.1201,81.6849,205.2853,261.5039,103.5122
2019-03-06,49.5733,81.4424,203.9525,256.4492,102.4748
2019-03-07,49.0313,81.5031,197.4306,255.9712,101.9071
2019-03-08,49.1941,82.3912,187.2792,256.6895,109.9062
2019-03-11,48.6891,81.0057,181.6679,261.2022,113.3072
2019-03-12,48.0303,83.2395,182.3874,258.9796,113.2500
2019-03-13,48.5884,81.4641,178.9650,258.3198,115.0249
2019-03-14,49.6525,80.6671,179.8229,269.1265,118.7601
2019-03-15,49.8762,82.5411,180.0108,271.6790,122.9308
2019-03-18,48.4364,80.9212,182.4692,270.3133,124.2457
2019-03-19,48.7813,79.6638,174.0723,264.8985,131.3646
2019-03-20,48.1353,78.8595,177.1621,262.7509,134.8182
2019-03-21,47.1293,79.5127,172.4845,262.3808,138.5357
2019-03-22,46.6275,79.1390,173.5634,263.7346,138.7011
2019-03-25,46.1514,77.4660,171.9254,259.3718,138.8956
2019-03-26,45.1952,78.6705,178.5842,258.1564,145.0551
2019-03-27,44.7092,78.9754,182.5255,255.6773,150.1506
2019-03-28,46.3657,79.7589,179.2353,257.5946,161.1532
2019-03-29,46.7603,77.7500,178.9575,261.3577,168.2145
2019-04-01,46.6022,77.4468,177.1317,262.4538,167.1954
2019-04-02,47.0422,75.0293,184.5311,265.4083,166.6255
2019-04-03,47.4900,76.4358,178.6610,269.0886,161.0791
2019-04-04,47.7429,75.1808,184.4246,274.2118,166.1600
2019-04-05,47.8990,73.9851,185.5896,271.9567,169.3059
2019-04-08,47.0631,71.5462,191.3681,271.1431,169.1821
2019-04-09,47.8415,72.7124,191.0916,269.7030,176.9182
2019-04-10,48.0486,73.5372,197.7699,266.9891,173.4892
2019-04-11,46.7577,74.5394,202.4707,271.6329,173.1124
2019-04-12,47.2082,73.2145,207.2992,270.8560,178.6026
2019-04-15,46.7548,72.0364,189.9901,265.8504,164.6871
2019-04-16,47.0301,71.0363,189.3942,259.6805,166.3130
2019-04-17,45.8475,70.3241,188.8481,258.4061,166.9834
2019-04-18,46.1617,69.5527,197.6716,252.6687,166.9626
2019-04-19,46.1732,68.2802,189.3722,248.6734,163.5841
2019-04-22,45.1731,68.5825,183.0303,246.4557,160.7626
2019-04-23,45.6820,69.2987,179.0520,245.7998,162.5189
2019-04-24,46.6889,68.0455,181.2358,248.8916,152.3490
2019-04-25,45.8834,66.3900,174.3578,245.1726,153.3524
2019-04-26,45.5629,66.2642,176.2901,240.0897,154.5584
2019-04-29,44.5648,65.0675,176.5312,237.4545,147.0791
2019-04-30,43.9151,65.3335,172.6139,234.8007,144.7407
2019-05-01,44.5080,64.1768,176.2781,234.9748,146.1545
2019-05-02,44.1728,65.9409,176.6855,234.4561,147.2943
2019-05-03,44.6518,66.5589,180.4906,238.6737,151.4070
2019-05-06,45.1139,65.1110,184.5287,240.5326,158.6492
2019-05-07,44.6378,65.3513,183.9539,240.3311,163.7591
2019-05-08,43.9034,65.6529,184.8550,237.1325,158.8109
2019-05-09,43.6580,65.5256,187.2488,241.0255,176.9480
2019-05-10,44.7323,67.3231,193.6218,246.3142,170.8207
2019-05-13,43.7215,68.8195,192.3467,243.6558,170.5094
2019-05-14,43.6042,68.2090,186.6188,242.5731,179.4152
2019-05-15,42.9945,68.7609,189.1534,239.5580,184.0680
2019-05-16,44.6503,67.9988,200.9490,245.7047,199.7488
2019-05-17,45.3773,68.7801,205.9338,244.3440,199.5827
2019-05-20,46.5021,67.3170,215.2495,247.8279,196.9925
2019-05-21,45.6112,66.6003,201.5258,238.3104,194.2969
2019-05-22,45.5028,69.6893,194.5955,238.3750,195.1281
2019-05-23,47.4116,70.1931,201.3142,240.4039,189.3839
2019-05-24,47.2047,69.5538,192.3998,239.0125,185.9603
2019-05-27,47.9246,71.6884,192.1851,237.2589,194.3726
2019-05-28,46.6277,73.1913,189.5907,236.1287,197.9734
2019-05-29,45.4604,75.2996,188.3312,238.3289,188.8275
2019-05-30,42.4711,73.7897,175.4110,236.9078,195.8301
2019-05-31,42.0850,75.1314,178.9586,238.9431,198.1476
2019-06-03,40.9694,76.9741,174.5085,239.2135,201.1537
2019-06-04,40.4838,74.3165,180.4874,240.0956,210.7400
2019-06-05,40.0499,75.7767,183.6245,245.2993,199.4614
2019-06-06,38.9853,75.5603,180.7267,241.6265,216.0485
2019-06-07,39.5012,75.1609,180.2162,240.5502,218.4118
2019-06-10,38.6278,74.8632,173.2707,238.6657,209.7569
2019-06-11,38.8538,74.3934,173.8591,239.4365,210.9587
2019-06-12,38.7622,75.0071,181.5681,240.0671,220.1964
2019-06-13,38.5419,75.8056,186.7980,242.0459,236.4057
2019-06-14,38.2953,75.0334,181.3313,239.7703,233.1369
2019-06-17,38.6878,75.4652,183.1018,239.1149,231.6686
2019-06-18,38.6301,73.5324,176.0898,232.0993,230.0060
2019-06-19,37.8192,73.9358,178.0946,231.2151,220.9780
2019-06-20,38.3476,75.6006,178.7029,228.4616,227.2459
2019-06-21,38.4092,76.5576,190.1087,231.2480,213.3413
2019-06-24,39.5303,76.0533,189.6822,234.9636,203.1090
2019-06-25,40.1397,77.3463,194.4112,242.0150,215.1200
2019-06-26,39.9643,75.5654,189.3830,239.3918,216.3071
2019-06-27,39.9097,74.7337,188.2834,240.2644,205.4876
2019-06-28,38.8278,74.5190,183.1735,233.3433,211.4483
2019-07-01,40.3818,76.3286,190.6659,231.9765,209.4069
2019-07-02,41.0122,78.0354,199.1570,237.3605,204.9575
2019-07-03,42.3605,80.3387,210.6311,242.5315,204.2974
2019-07-04,42.9777,80.2913,227.4686,245.9125,222.1812
2019-07-05,42.8672,79.0845,227.3751,240.7432,217.3008
2019-07-08,43.4712,77.0629,227.4937,240.1179,213.1536
2019-07-09,44.4065,78.4075,220.9690,243.1370,234.6548
2019-07-10,45.3745,80.1972,230.6477,244.4564,239.7489
2019-07-11,45.4544,80.6592,236.7922,244.5662,236.7774
2019-07-12,45.4292,78.3297,225.0672,242.0683,236.4040
2019-07-15,45.2394,78.8804,233.6741,244.5286,237.0825
2019-07-16,44.5329,79.3215,239.3487,242.6083,231.3303
2019-07-17,44.8843,80.5167,234.6428,247.0561,240.6764
2019-07-18,43.3062,82.1862,230.7695,244.4184,233.5437
2019-07-19,44.3814,84.0093,236.4506,244.8142,253.4359
2019-07-22,43.3428,84.5104,237.4754,244.1593,249.8226
2019-07-23,43.7780,84.5781,260.0875,251.1640,262.1552
2019-07-24,44.0561,84.8538,270.5876,255.5143,273.7129
2019-07-25,43.0651,85.5704,272.2610,255.8685,268.3868
2019-07-26,42.6347,86.1247,267.5175,255.2238,257.3272
2019-07-29,42.3268,84.9271,259.4102,253.8189,267.6954
2019-07-30,41.7113,85.7830,253.7054,257.4136,266.8502
2019-07-31,42.7035,85.6309,281.3224,259.2384,277.7426
2019-08-01,43.0220,85.0434,279.5075,255.9010,269.0432
2019-08-02,42.2833,85.0395,289.4882,258.1445,288.2700
2019-08-05,41.7982,84.8529,283.8650,258.2771,281.3712
2019-08-06,41.7438,83.0674,281.8645,254.0238,280.3244
2019-08-07,41.9323,82.3785,279.4563,254.9983,282.4842
2019-08-08,42.0353,81.9005,277.1825,255.7481,279.3622
2019-08-09,42.0188,83.3531,284.2999,257.1373,277.6069
2019-08-12,42.5953,83.1585,283.3774,258.4503,271.9985
2019-08-13,43.5484,84.3893,294.2372,259.2668,263.2258
2019-08-14,43.1130,84.4696,293.5937,256.9170,258.4195
2019-08-15,43.6726,84.7849,287.6643,258.9445,268.4557
2019-08-16,43.5201,85.5359,299.4296,260.9364,273.3325
2019-08-19,43.0974,86.1800,296.6913,261.5320,276.3413
2019-08-20,42.3400,85.6710,287.3632,260.7806,276.0556
2019-08-21,41.4299,83.7607,283.2542,259.2553,266.8943
2019-08-22,41.2248,84.4547,281.1429,260.9212,281.8876
2019-08-23,41.8496,83.3720,267.0217,262.7608,296.0101
2019-08-26,41.7814,81.7093,271.2703,266.2466,300.4173
2019-08-27,41.8100,81.3965,269.3918,263.9376,298.3068
2019-08-28,41.1954,81.8617,279.0988,264.7386,291.7306
2019-08-29,41.9288,80.5793,269.7973,264.1276,279.8668
